Title,IMDb Rating,Year,Certificates,Genre,Director,Star Cast,MetaScore,Duration (minutes)
Gladiator,8.5,2000,R,Action,Ridley Scott,David FranzoniJohn LoganWilliam Nicholson,67.0,155.0
Mission: Impossible - Dead Reckoning Part One,7.7,2023,PG-13,Action,Christopher McQuarrie,Tom CruiseHayley AtwellVing Rhames,81.0,163.0
Rebel Moon - Part Two: The Scargiver,5.2,2024,PG-13,Action,Zack Snyder,Zack SnyderKurt JohnstadShay Hatten,35.0,122.0
Inglourious Basterds,8.4,2009,R,Adventure,Quentin Tarantino,Brad PittDiane KrugerEli Roth,69.0,153.0
Borderlands,7.1,2024,R,Action,Eli Roth,Eli RothJoe Crombie,66.9,116.3
Jurassic Park,8.2,1993,PG-13,Action,Steven Spielberg,Michael CrichtonDavid Koepp,68.0,127.0
The Fifth Element,7.6,1997,PG-13,Action,Luc Besson,Luc BessonRobert Mark Kamen,52.0,126.0
Inside Out,8.1,2015,PG,Animation,Pete Docter,Pete DocterRonnie Del CarmenMeg LeFauve,94.0,95.0
Descendants: The Rise of Red,7.1,2024,TV-G,Action,Jennifer Phang,Rita OraJoshua ColleyChina Anne McClain,66.9,116.3
Wish,5.6,2023,PG,Animation,Chris Buck,Jennifer LeeAllison MooreChris Buck,47.0,95.0
The Hunger Games,7.2,2012,PG-13,Action,Gary Ross,Gary RossSuzanne CollinsBilly Ray,68.0,142.0
Rebel Moon - Part One: A Child of Fire,5.6,2023,PG-13,Action,Zack Snyder,Zack SnyderKurt JohnstadShay Hatten,31.0,133.0
Harry Potter and the Sorcerer's Stone,7.6,2001,PG,Adventure,Chris Columbus,Daniel RadcliffeRupert GrintEmma Watson,65.0,152.0
Wonka,7.0,2023,PG,Adventure,Paul King,Roald DahlPaul KingSimon Farnaby,66.0,116.0
Inception,8.8,2010,PG-13,Action,Christopher Nolan,Leonardo DiCaprioJoseph Gordon-LevittElliot Page,74.0,148.0
The Lord of the Rings: The Fellowship of the Ring,8.9,2001,PG-13,Action,Peter Jackson,J.R.R. TolkienFran WalshPhilippa Boyens,92.0,178.0
Twister,6.5,1996,PG-13,Action,Jan de Bont,Helen HuntBill PaxtonCary Elwes,68.0,113.0
Damsel,6.1,2024,PG-13,Action,Juan Carlos Fresnadillo,Millie Bobby BrownRay WinstoneAngela Bassett,46.0,110.0
Dune,6.3,1984,PG-13,Action,David Lynch,Kyle MacLachlanVirginia MadsenFrancesca Annis,41.0,137.0
Arthur the King,7.0,2024,PG-13,Adventure,Simon Cellan Jones,Mark WahlbergSimu LiuJuliet Rylance,54.0,107.0
Kung Fu Panda 4,6.3,2024,PG,Animation,Mike Mitchell,Jonathan AibelGlenn BergerDarren Lemke,54.0,94.0
Mad Max Beyond Thunderdome,6.2,1985,PG-13,Action,George Miller,Terry HayesGeorge MillerByron Kennedy,71.0,107.0
Manjummel Boys,8.4,2024,R,Adventure,Chidambaram,Soubin ShahirSreenath BhasiBalu Varghese,66.9,116.3
Golden Kamuy,6.4,2024,R,Action,Shigeaki Kubo,Kento YamazakiAnna YamadaYûma Yamoto,66.9,116.3
Interstellar,8.7,2014,PG-13,Adventure,Christopher Nolan,Matthew McConaugheyAnne HathawayJessica Chastain,74.0,169.0
Planet of the Apes,8.0,1968,G,Adventure,Franklin J. Schaffner,Michael WilsonRod SerlingPierre Boulle,79.0,112.0
Barbie,6.8,2023,PG-13,Adventure,Greta Gerwig,Margot RobbieRyan GoslingIssa Rae,80.0,114.0
Twisters,7.1,2024,PG-13,Action,Lee Isaac Chung,Mark L. SmithJoseph KosinskiMichael Crichton,66.9,116.3
The Hunger Games: The Ballad of Songbirds & Snakes,6.7,2023,PG-13,Action,Francis Lawrence,Rachel ZeglerTom BlythViola Davis,54.0,157.0
Inside Out 2,7.1,2024,PG,Animation,Kelsey Mann,Amy PoehlerPhyllis SmithLewis Black,66.9,100.0
Bad Boys: Ride or Die,7.1,2024,R,Action,Adil El Arbi,Will SmithMartin LawrenceVanessa Hudgens,66.9,116.3
Mad Max 2: The Road Warrior,7.6,1981,R,Action,George Miller,Terry HayesGeorge MillerBrian Hannant,77.0,96.0
Godzilla Minus One,7.9,2023,PG-13,Action,Takashi Yamazaki,Ryunosuke KamikiMinami HamabeSakura Andô,81.0,124.0
Love Lies Bleeding,6.7,2024,R,Action,Rose Glass,Anna BaryshnikovKristen StewartDave Franco,77.0,104.0
Dawn of the Planet of the Apes,7.6,2014,PG-13,Action,Matt Reeves,Mark BombackRick JaffaAmanda Silver,79.0,130.0
Planet of the Apes,5.7,2001,PG-13,Action,Tim Burton,Pierre BoulleWilliam Broyles Jr.Lawrence Konner,50.0,120.0
Mad Max,6.8,1979,R,Action,George Miller,James McCauslandGeorge MillerByron Kennedy,73.0,88.0
War for the Planet of the Apes,7.4,2017,PG-13,Action,Matt Reeves,Mark BombackMatt ReevesRick Jaffa,82.0,140.0
Ghostbusters: Frozen Empire,6.2,2024,PG-13,Adventure,Gil Kenan,Gil KenanJason ReitmanIvan Reitman,46.0,115.0
Thelma the Unicorn,5.8,2024,PG,Animation,Jared Hess,Brittany HowardWill ForteJon Heder,64.0,93.0
Dune,8.0,2021,PG-13,Action,Denis Villeneuve,Jon SpaihtsDenis VilleneuveEric Roth,74.0,155.0
The Garfield Movie,5.9,2024,PG,Animation,Mark Dindal,Paul A. KaplanMark TorgoveDavid Reynolds,31.0,101.0
Godzilla x Kong: The New Empire,6.2,2024,PG-13,Action,Adam Wingard,Terry RossioAdam WingardSimon Barrett,47.0,115.0
Madame Web,3.9,2024,PG-13,Action,S.J. Clarkson,Matt SazamaBurk SharplessClaire Parker,26.0,116.0
Civil War,7.4,2024,R,Action,Alex Garland,Kirsten DunstWagner MouraCailee Spaeny,75.0,109.0
Mad Max: Fury Road,8.1,2015,R,Action,George Miller,Tom HardyCharlize TheronNicholas Hoult,90.0,120.0
Atlas,5.6,2024,PG-13,Action,Brad Peyton,Jennifer LopezSimu LiuSterling K. Brown,37.0,118.0
Dune: Part Two,8.6,2024,PG-13,Action,Denis Villeneuve,Timothée ChalametZendayaRebecca Ferguson,79.0,166.0
Kingdom of the Planet of the Apes,7.2,2024,PG-13,Action,Wes Ball,Owen TeagueFreya AllanKevin Durand,66.0,145.0
Furiosa: A Mad Max Saga,7.9,2024,R,Action,George Miller,Anya Taylor-JoyChris HemsworthTom Burke,79.0,148.0
WALL·E,8.4,2008,G,Animation,Andrew Stanton,Andrew StantonPete DocterJim Reardon,95.0,98.0
Spider-Man: Beyond the Spider-Verse,7.1,2015,R,Animation,Joaquim Dos Santos,Shameik MooreHailee SteinfeldBrian Tyree Henry,66.9,116.3
Hercules,7.3,1997,G,Animation,Ron Clements,Ron ClementsJohn MuskerDon McEnery,74.0,93.0
Sing,7.1,2016,PG,Animation,Garth Jennings,Matthew McConaugheyReese WitherspoonSeth MacFarlane,59.0,108.0
Castle in the Sky,8.0,1986,PG,Animation,Hayao Miyazaki,Hayao MiyazakiJonathan Swift,78.0,125.0
"Monsters, Inc.",8.1,2001,G,Animation,Pete Docter,Pete DocterJill CultonJeff Pidgeon,79.0,92.0
Tangled,7.7,2010,PG,Animation,Nathan Greno,Mandy MooreZachary LeviDonna Murphy,71.0,100.0
Up,8.3,2009,PG,Animation,Pete Docter,Pete DocterBob PetersonTom McCarthy,88.0,96.0
Toy Story,8.3,1995,G,Animation,John Lasseter,John LasseterPete DocterAndrew Stanton,96.0,81.0
Puss in Boots: The Last Wish,7.8,2022,PG,Animation,Joel Crawford,Paul FisherTommy SwerdlowTom Wheeler,73.0,102.0
Encanto,7.2,2021,PG,Animation,Jared Bush,Charise Castro SmithJared BushByron Howard,75.0,102.0
Coco,8.4,2017,PG,Animation,Lee Unkrich,Lee UnkrichJason KatzMatthew Aldrich,81.0,105.0
Frozen,7.4,2013,PG,Animation,Chris Buck,Jennifer LeeHans Christian AndersenChris Buck,75.0,102.0
Mufasa: The Lion King,7.1,2024,R,Animation,Barry Jenkins,Linda WoolvertonIrene MecchiJonathan Roberts,66.9,116.3
Howl's Moving Castle,8.2,2004,PG,Animation,Hayao Miyazaki,Chieko BaishôTakuya KimuraTatsuya Gashûin,82.0,119.0
Zootopia,8.0,2016,PG,Animation,Byron Howard,Byron HowardRich MooreJared Bush,78.0,108.0
Teenage Mutant Ninja Turtles: Mutant Mayhem,7.2,2023,PG,Animation,Jeff Rowe,Seth RogenEvan GoldbergJeff Rowe,74.0,99.0
Kung Fu Panda,7.6,2008,PG,Animation,Mark Osborne,Jonathan AibelGlenn BergerEthan Reiff,74.0,92.0
The Lion King,6.8,2019,PG,Animation,Jon Favreau,Jeff NathansonIrene MecchiJonathan Roberts,55.0,118.0
Spider-Man: Into the Spider-Verse,8.4,2018,PG,Animation,Bob Persichetti,Phil LordRodney Rothman,87.0,117.0
The Incredibles,8.0,2004,PG,Animation,Brad Bird,Craig T. NelsonSamuel L. JacksonHolly Hunter,90.0,115.0
Mars Express,7.5,2023,Not Rated,Animation,Jérémie Périn,Léa DruckerMathieu AmalricDaniel Njo Lobé,76.0,88.0
Shrek 2,7.3,2004,PG,Animation,Andrew Adamson,William SteigAndrew AdamsonJoe Stillman,75.0,93.0
Your Name.,8.4,2016,R,Animation,Makoto Shinkai,Makoto ShinkaiClark Cheng,81.0,116.3
Elemental,7.0,2023,PG,Animation,Peter Sohn,John HobergKat LikkelBrenda Hsueh,58.0,101.0
Ratatouille,8.1,2007,G,Animation,Brad Bird,Brad BirdJan PinkavaJim Capobianco,96.0,111.0
Moana,7.6,2016,PG,Animation,Ron Clements,Ron ClementsJohn MuskerDon Hall,81.0,107.0
Harold and the Purple Crayon,7.1,2024,PG,Animation,Carlos Saldanha,Zachary LeviLil Rel HoweryBenjamin Bottani,66.9,92.0
Finding Nemo,8.2,2003,G,Animation,Andrew Stanton,Andrew StantonBob PetersonDavid Reynolds,90.0,100.0
Sing 2,7.3,2021,PG,Animation,Garth Jennings,Matthew McConaugheyReese WitherspoonScarlett Johansson,49.0,110.0
Trolls Band Together,6.0,2023,PG,Animation,Walt Dohrn,Anna KendrickJustin TimberlakeKenan Thompson,53.0,91.0
Transformers One,7.1,2024,R,Animation,Josh Cooley,Chris HemsworthBrian Tyree HenryScarlett Johansson,66.9,116.3
The Boy and the Heron,7.6,2023,PG-13,Animation,Hayao Miyazaki,Hayao Miyazaki,91.0,124.0
The Lion King,8.5,1994,G,Animation,Roger Allers,Irene MecchiJonathan RobertsLinda Woolverton,88.0,88.0
Cars,7.2,2006,G,Animation,John Lasseter,John LasseterJoe RanftJorgen Klubien,73.0,116.0
Shrek,7.9,2001,PG,Animation,Andrew Adamson,William SteigTed ElliottTerry Rossio,84.0,90.0
Spirited Away,8.6,2001,PG,Animation,Hayao Miyazaki,Hayao Miyazaki,96.0,125.0
Moana 2,7.1,2024,R,Animation,David G. Derrick Jr.,Gil KenanJason ReitmanIvan Reitman,66.9,116.3
The Super Mario Bros. Movie,7.0,2023,PG,Animation,Aaron Horvath,Aaron HorvathMichael JelenicPierre Leduc,46.0,92.0
The Lord of the Rings: The War of the Rohirrim,7.1,2024,R,Animation,Kenji Kamiyama,Jeffrey AddissPhoebe GittinsWill Matthews,66.9,116.3
Despicable Me 4,7.1,2024,PG,Animation,Chris Renaud,Steve CarellKristen WiigJoey King,66.9,95.0
Migration,6.7,2023,PG,Animation,Benjamin Renner,Mike WhiteBenjamin RennerKen Daurio,56.0,83.0
Spider-Man: Across the Spider-Verse,8.6,2023,PG,Animation,Joaquim Dos Santos,Shameik MooreHailee SteinfeldBrian Tyree Henry,86.0,140.0
Inside Out,8.1,2015,PG,Animation,Pete Docter,Pete DocterRonnie Del CarmenMeg LeFauve,94.0,95.0
Wish,5.6,2023,PG,Animation,Chris Buck,Jennifer LeeAllison MooreChris Buck,47.0,95.0
Kung Fu Panda 4,6.3,2024,PG,Animation,Mike Mitchell,Jonathan AibelGlenn BergerDarren Lemke,54.0,94.0
Inside Out 2,7.1,2024,PG,Animation,Kelsey Mann,Amy PoehlerPhyllis SmithLewis Black,66.9,100.0
Thelma the Unicorn,5.8,2024,PG,Animation,Jared Hess,Brittany HowardWill ForteJon Heder,64.0,93.0
The Garfield Movie,5.9,2024,PG,Animation,Mark Dindal,Paul A. KaplanMark TorgoveDavid Reynolds,31.0,101.0
IF,6.7,2024,PG,Animation,John Krasinski,Cailey FlemingRyan ReynoldsJohn Krasinski,46.0,104.0
Taxi Driver,8.2,1976,R,Crime,Martin Scorsese,"Robert De Niro,Jodie Foster,Cybill Shepherd",94.0,114.0
Kill Bill: Vol. 1,8.2,2003,R,Action,Quentin Tarantino,"Quentin Tarantino ,Uma Thurman",69.0,111.0
We're the Millers,7.0,2013,R,Comedy,Rawson Marshall Thurber,"Bob FisherSteve , FaberSean Anders",44.0,110.0
The Green Mile,8.6,1999,R,Crime,Frank Darabont,Tom HanksMichael Clarke DuncanDavid Morse,61.0,189.0
Animal,6.2,2023,Not Rated,Action,Sandeep Reddy Vanga,Suresh BandaruSaurabh GuptaPranay Reddy Vanga,33.0,204.0
Prisoners,8.2,2013,R,Crime,Denis Villeneuve,Hugh JackmanJake GyllenhaalViola Davis,70.0,153.0
12 Angry Men,9.0,1957,Approved,Crime,Sidney Lumet,Reginald Rose,97.0,96.0
Joker,8.4,2019,R,Crime,Todd Phillips,Todd PhillipsScott SilverBob Kane,59.0,122.0
Sicario,7.7,2015,R,Action,Denis Villeneuve,Emily BluntJosh BrolinBenicio Del Toro,82.0,121.0
Baby Driver,7.5,2017,R,Action,Edgar Wright,Ansel ElgortJon BernthalJon Hamm,86.0,113.0
The Crow,7.5,1994,R,Action,Alex Proyas,Brandon LeeMichael WincottRochelle Davis,71.0,102.0
Léon: The Professional,8.5,1994,R,Action,Luc Besson,Jean RenoGary OldmanNatalie Portman,64.0,110.0
In the Land of Saints and Sinners,6.3,2023,R,Action,Robert Lorenz,Kerry CondonDesmond EastwoodConor MacNeill,60.0,106.0
The Equalizer,7.2,2014,R,Action,Antoine Fuqua,Denzel WashingtonMarton CsokasChloë Grace Moretz,57.0,132.0
The Equalizer 3,6.8,2023,R,Action,Antoine Fuqua,Denzel WashingtonDakota FanningEugenio Mastrandrea,58.0,109.0
Wicked Little Letters,7.0,2023,R,Comedy,Thea Sharrock,Jessie BuckleyOlivia ColmanTimothy Spall,58.0,100.0
Beverly Hills Cop,7.4,1984,R,Action,Martin Brest,Daniel Petrie Jr.Danilo Bach,66.0,105.0
The Silence of the Lambs,8.6,1991,R,Crime,Jonathan Demme,Jodie FosterAnthony HopkinsScott Glenn,86.0,118.0
Heat,8.3,1995,R,Action,Michael Mann,Al PacinoRobert De NiroVal Kilmer,76.0,170.0
No Country for Old Men,8.2,2007,R,Crime,Ethan Coen,Tommy Lee JonesJavier BardemJosh Brolin,92.0,122.0
Se7en,8.6,1995,R,Crime,David Fincher,Morgan FreemanBrad PittKevin Spacey,65.0,127.0
John Wick: Chapter 4,7.7,2023,R,Action,Chad Stahelski,Keanu ReevesLaurence FishburneGeorge Georgiou,78.0,169.0
The Talented Mr. Ripley,7.4,1999,R,Crime,Anthony Minghella,Matt DamonGwyneth PaltrowJude Law,76.0,139.0
The Outsiders,7.0,1983,PG,Crime,Francis Ford Coppola,C. Thomas HowellMatt DillonRalph Macchio,45.0,91.0
The Departed,8.5,2006,R,Crime,Martin Scorsese,Leonardo DiCaprioMatt DamonJack Nicholson,85.0,151.0
Goodfellas,8.7,1990,R,Biography,Martin Scorsese,Nicholas PileggiMartin Scorsese,92.0,145.0
MaXXXine,7.1,2024,R,Crime,Ti West,Ti West,66.9,103.0
The Wolf of Wall Street,8.2,2013,R,Biography,Martin Scorsese,Leonardo DiCaprioJonah HillMargot Robbie,75.0,180.0
The Batman,7.8,2022,PG-13,Action,Matt Reeves,Matt ReevesPeter CraigBob Kane,72.0,176.0
The Courier,6.0,2024,R,Crime,Daniel Calparsoro,Arón PiperMaría PedrazaLuis Tosar,66.9,116.3
The Dark Knight,9.0,2008,PG-13,Action,Christopher Nolan,Jonathan NolanChristopher NolanDavid S. Goyer,84.0,152.0
Killers of the Flower Moon,7.6,2023,R,Crime,Martin Scorsese,Leonardo DiCaprioRobert De NiroLily Gladstone,89.0,206.0
Pulp Fiction,8.9,1994,R,Crime,Quentin Tarantino,Quentin TarantinoRoger Avary,95.0,154.0
Force of Nature: The Dry 2,6.0,2024,R,Crime,Robert Connolly,Eric BanaAnna TorvDeborra-Lee Furness,58.0,120.0
The Crow,7.1,2024,R,Action,Rupert Sanders,Bill SkarsgårdFKA twigsDanny Huston,66.9,116.3
Anatomy of a Fall,7.7,2023,R,Crime,Justine Triet,Sandra HüllerSwann ArlaudMilo Machado-Graner,86.0,151.0
The Bikeriders,7.5,2023,R,Crime,Jeff Nichols,Jodie ComerAustin ButlerTom Hardy,73.0,116.0
The Godfather,9.2,1972,R,Crime,Francis Ford Coppola,Mario PuzoFrancis Ford Coppola,100.0,175.0
The Gentlemen,7.8,2019,R,Action,Guy Ritchie,Guy RitchieIvan AtkinsonMarn Davies,51.0,113.0
The Judge,7.4,2014,R,Crime,David Dobkin,Nick SchenkBill DubuqueDavid Dobkin,48.0,141.0
The Last Stop in Yuma County,7.0,2023,R,Crime,Francis Galluppi,Jim CummingsFaizon LoveJocelin Donahue,72.0,90.0
Beverly Hills Cop: Axel F,7.1,2024,R,Action,Mark Molloy,Will BeallTom GormicanKevin Etten,66.9,115.0
Bad Boys: Ride or Die,7.1,2024,R,Action,Adil El Arbi,Will SmithMartin LawrenceVanessa Hudgens,66.9,116.3
Love Lies Bleeding,6.7,2024,R,Action,Rose Glass,Anna BaryshnikovKristen StewartDave Franco,77.0,104.0
Hit Man,7.4,2023,R,Action,Richard Linklater,Adria ArjonaGlen PowellRetta,83.0,115.0
Longlegs,7.1,2024,R,Crime,Oz Perkins,Nicolas CageMaika MonroeAlicia Witt,66.9,101.0
Disturbia,6.8,2007,PG-13,Crime,D.J. Caruso,Christopher LandonCarl Ellsworth,62.0,105.0
A Simple Favor,6.8,2018,R,Comedy,Paul Feig,Anna KendrickBlake LivelyHenry Golding,67.0,117.0
Emilia Perez,7.2,2024,R,Comedy,Jacques Audiard,Jacques AudiardThomas BidegainNicolas Livecchi,70.0,116.3
Boy Kills World,6.5,2023,R,Action,Moritz Mohr,Tyler Burton SmithArend RemmersMoritz Mohr,47.0,111.0
Monster,4.6,2023,TV-MA,Horror,Rako Prijanto,Marsha TimothyAlex AbbadAnantya Kirana,66.9,86.0
Glass,6.6,2019,PG-13,Drama,M. Night Shyamalan,M. Night Shyamalan,43.0,129.0
Lisa Frankenstein,6.1,2024,PG-13,Comedy,Zelda Williams,Kathryn NewtonLiza SoberanoJenna Davis,47.0,101.0
It,7.3,2017,R,Fantasy,Andy Muschietti,Chase PalmerCary Joji FukunagaGary Dauberman,69.0,135.0
Smile,6.5,2022,R,Horror,Parker Finn,Sosie BaconJessie T. UsherKyle Gallner,68.0,115.0
The Dead Don't Die,5.5,2019,R,Comedy,Jim Jarmusch,Bill MurrayAdam DriverTilda Swinton,53.0,104.0
Nosferatu,7.1,2024,R,Fantasy,Robert Eggers,Aaron Taylor-JohnsonBill SkarsgårdNicholas Hoult,66.9,116.3
A Serbian Film,5.0,2010,NC-17,Horror,Srdjan Spasojevic,Srdjan 'Zika' TodorovicSergej TrifunovicJelena Gavrilovic,66.9,104.0
Mandy,6.5,2018,Not Rated,Action,Panos Cosmatos,Panos CosmatosAaron Stewart-AhnCasper Kelly,83.0,121.0
The Crow,7.5,1994,R,Action,Alex Proyas,Brandon LeeMichael WincottRochelle Davis,71.0,102.0
The Prodigy,5.9,2019,R,Fantasy,Nicholas McCarthy,Taylor SchillingJackson Robert ScottPeter Mooney,45.0,92.0
Split,7.3,2016,PG-13,Horror,M. Night Shyamalan,James McAvoyAnya Taylor-JoyHaley Lu Richardson,63.0,117.0
The Menu,7.2,2022,R,Comedy,Mark Mylod,Ralph FiennesAnya Taylor-JoyNicholas Hoult,71.0,107.0
Nope,6.8,2022,R,Horror,Jordan Peele,Daniel KaluuyaKeke PalmerBrandon Perea,77.0,130.0
Five Nights at Freddy's,5.5,2023,PG-13,Horror,Emma Tammi,Scott CawthonSeth CuddebackEmma Tammi,33.0,109.0
Alien,8.5,1979,R,Horror,Ridley Scott,Dan O'BannonRonald Shusett,89.0,117.0
A Quiet Place,7.5,2018,PG-13,Drama,John Krasinski,Bryan WoodsScott BeckJohn Krasinski,82.0,90.0
The First Omen,6.7,2024,R,Horror,Arkasha Stevenson,Tim SmithArkasha StevensonKeith Thomas,65.0,119.0
Midsommar,7.1,2019,R,Drama,Ari Aster,Florence PughJack ReynorVilhelm Blomgren,72.0,148.0
The Killing of a Sacred Deer,7.0,2017,R,Drama,Yorgos Lanthimos,Barry G. BernsonHerb CaillouetBill Camp,73.0,121.0
Talk to Me,7.1,2022,R,Horror,Danny Philippou,Ari McCarthyHamish PhillipsKit Erhart-Bruce,76.0,95.0
Hereditary,7.3,2018,R,Drama,Ari Aster,Toni ColletteMilly ShapiroGabriel Byrne,87.0,127.0
Dream Scenario,6.9,2023,R,Comedy,Kristoffer Borgli,Lily BirdNicolas CageJulianne Nicholson,74.0,102.0
MaXXXine,7.1,2024,R,Crime,Ti West,Ti West,66.9,103.0
Exhuma,7.0,2024,R,Horror,Jang Jae-hyun,Jang Jae-hyun,66.9,116.3
Shaitaan,6.7,2024,Not Rated,Drama,Vikas Bahl,Aamil Keeyan KhanKrishnadev Yagnik,66.9,132.0
28 Days Later,7.5,2002,R,Drama,Danny Boyle,Cillian MurphyNaomie HarrisChristopher Eccleston,73.0,113.0
Alien: Romulus,7.1,2024,R,Horror,Fede Alvarez,Fede AlvarezRodo SayaguesDan O'Bannon,66.9,116.3
Arcadian,5.5,2024,R,Action,Benjamin Brewer,Nicolas CageJaeden MartellMaxwell Jenkins,60.0,92.0
A Quiet Place: Day One,7.1,2024,R,Drama,Michael Sarnoski,Michael SarnoskiJohn KrasinskiBryan Woods,66.9,116.3
Barbarian,7.0,2022,R,Horror,Zach Cregger,Georgina CampbellBill SkarsgårdJustin Long,78.0,102.0
The Coffee Table,6.8,2022,16+,Comedy,Caye Casas,David ParejaEstefanía de los SantosJosep Maria Riera,72.0,91.0
Immaculate,5.8,2024,R,Horror,Michael Mohan,Sydney SweeneyÁlvaro MorteSimona Tabasco,57.0,89.0
Pearl,7.0,2022,R,Drama,Ti West,Ti WestMia Goth,76.0,103.0
The Crow,7.1,2024,R,Action,Rupert Sanders,Bill SkarsgårdFKA twigsDanny Huston,66.9,116.3
The Invitation,5.3,2022,PG-13,Horror,Jessica M. Thompson,Nathalie EmmanuelThomas DohertySean Pertwee,45.0,105.0
The Watchers,7.1,2024,PG-13,Fantasy,Ishana Shyamalan,Dakota FanningGeorgina CampbellOlwen Fouéré,66.9,102.0
In a Violent Nature,5.7,2024,R,Drama,Chris Nash,Chris Nash,65.0,116.3
The Strangers,6.1,2008,R,Horror,Bryan Bertino,Scott SpeedmanLiv TylerGemma Ward,47.0,86.0
Tarot,4.9,2024,PG-13,Horror,Spenser Cohen,Harriet SlaterAdain BradleyJacob Batalon,36.0,92.0
X,6.5,2022,R,Horror,Ti West,Mia GothJenna OrtegaBrittany Snow,80.0,105.0
Sting,5.7,2024,R,Horror,Kiah Roache-Turner,Jermaine FowlerRyan CorrAlyla Browne,57.0,92.0
Godzilla Minus One,7.9,2023,PG-13,Action,Takashi Yamazaki,Ryunosuke KamikiMinami HamabeSakura Andô,81.0,124.0
I Saw the TV Glow,6.9,2024,PG-13,Drama,Jane Schoenbrun,Justice SmithBrigette Lundy-PaineIan Foreman,84.0,100.0
Late Night with the Devil,7.1,2023,R,Horror,Cameron Cairnes,David DastmalchianLaura GordonIan Bliss,72.0,93.0
Longlegs,7.1,2024,R,Crime,Oz Perkins,Nicolas CageMaika MonroeAlicia Witt,66.9,101.0
The Substance,8.0,2024,R,Drama,Coralie Fargeat,Margaret QualleyDemi MooreDennis Quaid,83.0,116.3
Abigail,6.7,2024,R,Horror,Matt Bettinelli-Olpin,Melissa BarreraDan StevensAlisha Weir,62.0,109.0
The Strangers: Chapter 1,5.0,2024,R,Horror,Renny Harlin,Madelaine PetschRyan BownMatus Lajcak,43.0,91.0
Beetlejuice Beetlejuice,7.1,2024,R,Comedy,Tim Burton,Alfred GoughMiles MillarSeth Grahame-Smith,66.9,116.3
Alien,8.5,1979,R,Horror,Ridley Scott,Dan O'BannonRonald Shusett,89.0,117.0
A Quiet Place,7.5,2018,PG-13,Drama,John Krasinski,Bryan WoodsScott BeckJohn Krasinski,82.0,90.0
