Title,IMDb Rating,Year,Certificates,Genre,Director,Star Cast,MetaScore,Duration (minutes)
Deadpool 2,7.6,2018,R,Action,David Leitch,Rhett ReesePaul WernickRyan Reynolds,66.0,119.0
Avengers: Endgame,8.4,2019,PG-13,Action,Anthony Russo,Christopher MarkusStephen McFeelyStan Lee,78.0,181.0
Despicable Me 4,7.1,2024,PG,Animation,Chris Renaud,Steve CarellKristen WiigJoey King,66.9,95.0
Ghostbusters: Afterlife,7.0,2021,PG-13,Adventure,Jason Reitman,Gil KenanJason ReitmanIvan Reitman,45.0,124.0
Spider-Man: Across the Spider-Verse,8.6,2023,PG,Animation,Joaquim Dos Santos,Shameik MooreHailee SteinfeldBrian Tyree Henry,86.0,140.0
Star Wars: Episode I - The Phantom Menace,6.5,1999,PG,Action,George Lucas,Ewan McGregorLiam NeesonNatalie Portman,51.0,136.0
Spider-Man: No Way Home,8.2,2021,PG-13,Action,Jon Watts,Chris McKennaErik SommersStan Lee,71.0,148.0
Ghostbusters,7.8,1984,PG,Action,Ivan Reitman,Bill MurrayDan AykroydSigourney Weaver,71.0,105.0
Rebel Moon - Part Two: The Scargiver,5.2,2024,PG-13,Action,Zack Snyder,Zack SnyderKurt JohnstadShay Hatten,35.0,122.0
The Matrix,8.7,1999,R,Action,Lana Wachowski,Keanu ReevesLaurence FishburneCarrie-Anne Moss,73.0,136.0
Borderlands,7.1,2024,R,Action,Eli Roth,Eli RothJoe Crombie,66.9,116.3
Blade Runner 2049,8.0,2017,R,Action,Denis Villeneuve,Hampton FancherMichael GreenPhilip K. Dick,81.0,164.0
Jurassic Park,8.2,1993,PG-13,Action,Steven Spielberg,Michael CrichtonDavid Koepp,68.0,127.0
The Fifth Element,7.6,1997,PG-13,Action,Luc Besson,Luc BessonRobert Mark Kamen,52.0,126.0
The Hunger Games,7.2,2012,PG-13,Action,Gary Ross,Gary RossSuzanne CollinsBilly Ray,68.0,142.0
Godzilla vs. Kong,6.3,2021,PG-13,Action,Adam Wingard,Terry RossioMichael DoughertyZach Shields,59.0,113.0
Rebel Moon - Part One: A Child of Fire,5.6,2023,PG-13,Action,Zack Snyder,Zack SnyderKurt JohnstadShay Hatten,31.0,133.0
28 Days Later,7.5,2002,R,Drama,Danny Boyle,Cillian MurphyNaomie HarrisChristopher Eccleston,73.0,113.0
Alien: Romulus,7.1,2024,R,Horror,Fede Alvarez,Fede AlvarezRodo SayaguesDan O'Bannon,66.9,116.3
Inception,8.8,2010,PG-13,Action,Christopher Nolan,Leonardo DiCaprioJoseph Gordon-LevittElliot Page,74.0,148.0
A Quiet Place: Day One,7.1,2024,R,Drama,Michael Sarnoski,Michael SarnoskiJohn KrasinskiBryan Woods,66.9,116.3
Dune,6.3,1984,PG-13,Action,David Lynch,Kyle MacLachlanVirginia MadsenFrancesca Annis,41.0,137.0
Mad Max Beyond Thunderdome,6.2,1985,PG-13,Action,George Miller,Terry HayesGeorge MillerByron Kennedy,71.0,107.0
Interstellar,8.7,2014,PG-13,Adventure,Christopher Nolan,Matthew McConaugheyAnne HathawayJessica Chastain,74.0,169.0
Her,8.0,2013,R,Drama,Spike Jonze,Joaquin PhoenixAmy AdamsScarlett Johansson,91.0,126.0
Planet of the Apes,8.0,1968,G,Adventure,Franklin J. Schaffner,Michael WilsonRod SerlingPierre Boulle,79.0,112.0
The Hunger Games: The Ballad of Songbirds & Snakes,6.7,2023,PG-13,Action,Francis Lawrence,Rachel ZeglerTom BlythViola Davis,54.0,157.0
Upgrade,7.5,2018,R,Action,Leigh Whannell,Logan Marshall-GreenMelanie VallejoSteve Danielsen,67.0,100.0
Mad Max 2: The Road Warrior,7.6,1981,R,Action,George Miller,Terry HayesGeorge MillerBrian Hannant,77.0,96.0
Sting,5.7,2024,R,Horror,Kiah Roache-Turner,Jermaine FowlerRyan CorrAlyla Browne,57.0,92.0
Godzilla Minus One,7.9,2023,PG-13,Action,Takashi Yamazaki,Ryunosuke KamikiMinami HamabeSakura Andô,81.0,124.0
Dawn of the Planet of the Apes,7.6,2014,PG-13,Action,Matt Reeves,Mark BombackRick JaffaAmanda Silver,79.0,130.0
Rise of the Planet of the Apes,7.6,2011,PG-13,Action,Rupert Wyatt,James FrancoAndy SerkisFreida Pinto,68.0,105.0
Planet of the Apes,5.7,2001,PG-13,Action,Tim Burton,Pierre BoulleWilliam Broyles Jr.Lawrence Konner,50.0,120.0
Mad Max,6.8,1979,R,Action,George Miller,James McCauslandGeorge MillerByron Kennedy,73.0,88.0
War for the Planet of the Apes,7.4,2017,PG-13,Action,Matt Reeves,Mark BombackMatt ReevesRick Jaffa,82.0,140.0
Ghostbusters: Frozen Empire,6.2,2024,PG-13,Adventure,Gil Kenan,Gil KenanJason ReitmanIvan Reitman,46.0,115.0
Poor Things,7.9,2023,R,Comedy,Yorgos Lanthimos,Emma StoneMark RuffaloWillem Dafoe,88.0,141.0
Dune,8.0,2021,PG-13,Action,Denis Villeneuve,Jon SpaihtsDenis VilleneuveEric Roth,74.0,155.0
Deadpool & Wolverine,7.1,2024,R,Action,Shawn Levy,Shawn LevyRhett ReeseRyan Reynolds,66.9,116.3
Godzilla x Kong: The New Empire,6.2,2024,PG-13,Action,Adam Wingard,Terry RossioAdam WingardSimon Barrett,47.0,115.0
Madame Web,3.9,2024,PG-13,Action,S.J. Clarkson,Matt SazamaBurk SharplessClaire Parker,26.0,116.0
Megalopolis,7.0,2024,R,Drama,Francis Ford Coppola,Adam DriverGiancarlo EspositoNathalie Emmanuel,58.0,116.3
Mad Max: Fury Road,8.1,2015,R,Action,George Miller,Tom HardyCharlize TheronNicholas Hoult,90.0,120.0
Atlas,5.6,2024,PG-13,Action,Brad Peyton,Jennifer LopezSimu LiuSterling K. Brown,37.0,118.0
Dune: Part Two,8.6,2024,PG-13,Action,Denis Villeneuve,Timothée ChalametZendayaRebecca Ferguson,79.0,166.0
Kingdom of the Planet of the Apes,7.2,2024,PG-13,Action,Wes Ball,Owen TeagueFreya AllanKevin Durand,66.0,145.0
Furiosa: A Mad Max Saga,7.9,2024,R,Action,George Miller,Anya Taylor-JoyChris HemsworthTom Burke,79.0,148.0
The Lion King,6.8,2019,PG,Animation,Jon Favreau,Jeff NathansonIrene MecchiJonathan Roberts,55.0,118.0
Spider-Man: Into the Spider-Verse,8.4,2018,PG,Animation,Bob Persichetti,Phil LordRodney Rothman,87.0,117.0
The Incredibles,8.0,2004,PG,Animation,Brad Bird,Craig T. NelsonSamuel L. JacksonHolly Hunter,90.0,115.0
Charlie and the Chocolate Factory,6.7,2005,PG,Adventure,Tim Burton,Johnny DeppFreddie HighmoreDavid Kelly,72.0,115.0
Harry Potter and the Chamber of Secrets,7.4,2002,PG,Adventure,Chris Columbus,Daniel RadcliffeRupert GrintEmma Watson,63.0,161.0
Shrek 2,7.3,2004,PG,Animation,Andrew Adamson,William SteigAndrew AdamsonJoe Stillman,75.0,93.0
Minecraft,7.1,2025,R,Action,Jared Hess,Chris BowmanHubbel PalmerAllison Schroeder,66.9,116.3
Willy Wonka & the Chocolate Factory,7.8,1971,G,Adventure,Mel Stuart,Roald DahlRobert KaufmanDavid Seltzer,67.0,100.0
The Sandlot,7.8,1993,PG,Comedy,David Mickey Evans,Tom GuiryMike VitarArt LaFleur,55.0,101.0
Stardust,7.6,2007,PG-13,Adventure,Matthew Vaughn,Charlie CoxClaire DanesSienna Miller,66.0,127.0
Elemental,7.0,2023,PG,Animation,Peter Sohn,John HobergKat LikkelBrenda Hsueh,58.0,101.0
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.9,2005,PG,Adventure,Andrew Adamson,Ann PeacockAndrew AdamsonChristopher Markus,75.0,143.0
Miss Peregrine's Home for Peculiar Children,6.7,2016,PG-13,Adventure,Tim Burton,Eva GreenAsa ButterfieldSamuel L. Jackson,57.0,127.0
Harry Potter and the Deathly Hallows: Part 2,8.1,2011,PG-13,Adventure,David Yates,Daniel RadcliffeEmma WatsonRupert Grint,85.0,130.0
Ratatouille,8.1,2007,G,Animation,Brad Bird,Brad BirdJan PinkavaJim Capobianco,96.0,111.0
Harry Potter and the Prisoner of Azkaban,7.9,2004,PG,Adventure,Alfonso Cuarón,Daniel RadcliffeEmma WatsonRupert Grint,82.0,142.0
The Wizard of Oz,8.1,1939,G,Adventure,Victor Fleming,Noel LangleyFlorence RyersonEdgar Allan Woolf,92.0,102.0
Moana,7.6,2016,PG,Animation,Ron Clements,Ron ClementsJohn MuskerDon Hall,81.0,107.0
Harold and the Purple Crayon,7.1,2024,PG,Animation,Carlos Saldanha,Zachary LeviLil Rel HoweryBenjamin Bottani,66.9,92.0
Finding Nemo,8.2,2003,G,Animation,Andrew Stanton,Andrew StantonBob PetersonDavid Reynolds,90.0,100.0
Sing 2,7.3,2021,PG,Animation,Garth Jennings,Matthew McConaugheyReese WitherspoonScarlett Johansson,49.0,110.0
Garfield: The Movie,5.0,2004,PG,Adventure,Peter Hewitt,Breckin MeyerJennifer Love HewittStephen Tobolowsky,27.0,80.0
The Little Mermaid,7.2,2023,PG,Adventure,Rob Marshall,David MageeHans Christian AndersenJohn Musker,59.0,135.0
Harry Potter and the Goblet of Fire,7.7,2005,PG-13,Adventure,Mike Newell,Daniel RadcliffeEmma WatsonRupert Grint,81.0,157.0
Trolls Band Together,6.0,2023,PG,Animation,Walt Dohrn,Anna KendrickJustin TimberlakeKenan Thompson,53.0,91.0
Transformers One,7.1,2024,R,Animation,Josh Cooley,Chris HemsworthBrian Tyree HenryScarlett Johansson,66.9,116.3
The Boy and the Heron,7.6,2023,PG-13,Animation,Hayao Miyazaki,Hayao Miyazaki,91.0,124.0
The Lion King,8.5,1994,G,Animation,Roger Allers,Irene MecchiJonathan RobertsLinda Woolverton,88.0,88.0
Cars,7.2,2006,G,Animation,John Lasseter,John LasseterJoe RanftJorgen Klubien,73.0,116.0
Shrek,7.9,2001,PG,Animation,Andrew Adamson,William SteigTed ElliottTerry Rossio,84.0,90.0
Spirited Away,8.6,2001,PG,Animation,Hayao Miyazaki,Hayao Miyazaki,96.0,125.0
Moana 2,7.1,2024,R,Animation,David G. Derrick Jr.,Gil KenanJason ReitmanIvan Reitman,66.9,116.3
The Goonies,7.7,1985,PG,Adventure,Richard Donner,Sean AstinJosh BrolinJeff Cohen,62.0,114.0
The Super Mario Bros. Movie,7.0,2023,PG,Animation,Aaron Horvath,Aaron HorvathMichael JelenicPierre Leduc,46.0,92.0
The Princess Bride,8.0,1987,PG,Adventure,Rob Reiner,William Goldman,78.0,98.0
Jumanji,7.1,1995,PG,Adventure,Joe Johnston,Jonathan HensleighGreg TaylorJim Strain,39.0,104.0
Sonic the Hedgehog 3,7.1,2024,R,Action,Jeff Fowler,Ben SchwartzColleen O'ShaughnesseyIdris Elba,66.9,116.3
Unsung Hero,7.8,2024,PG,Drama,Richard L. Ramsey,Richard L. RamseyRichard RamseyJoel Smallbone,46.0,113.0
Despicable Me 4,7.1,2024,PG,Animation,Chris Renaud,Steve CarellKristen WiigJoey King,66.9,95.0
Migration,6.7,2023,PG,Animation,Benjamin Renner,Mike WhiteBenjamin RennerKen Daurio,56.0,83.0
Inside Out,8.1,2015,PG,Animation,Pete Docter,Pete DocterRonnie Del CarmenMeg LeFauve,94.0,95.0
Descendants: The Rise of Red,7.1,2024,TV-G,Action,Jennifer Phang,Rita OraJoshua ColleyChina Anne McClain,66.9,116.3
Wish,5.6,2023,PG,Animation,Chris Buck,Jennifer LeeAllison MooreChris Buck,47.0,95.0
Harry Potter and the Sorcerer's Stone,7.6,2001,PG,Adventure,Chris Columbus,Daniel RadcliffeRupert GrintEmma Watson,65.0,152.0
Wonka,7.0,2023,PG,Adventure,Paul King,Roald DahlPaul KingSimon Farnaby,66.0,116.0
Kung Fu Panda 4,6.3,2024,PG,Animation,Mike Mitchell,Jonathan AibelGlenn BergerDarren Lemke,54.0,94.0
Inside Out 2,7.1,2024,PG,Animation,Kelsey Mann,Amy PoehlerPhyllis SmithLewis Black,66.9,100.0
Thelma the Unicorn,5.8,2024,PG,Animation,Jared Hess,Brittany HowardWill ForteJon Heder,64.0,93.0
The Garfield Movie,5.9,2024,PG,Animation,Mark Dindal,Paul A. KaplanMark TorgoveDavid Reynolds,31.0,101.0
IF,6.7,2024,PG,Animation,John Krasinski,Cailey FlemingRyan ReynoldsJohn Krasinski,46.0,104.0
Twister,6.5,1996,PG-13,Action,Jan de Bont,Helen HuntBill PaxtonCary Elwes,68.0,113.0
Land of Bad,6.5,2024,R,Action,William Eubank,Liam HemsworthRussell CroweLuke Hemsworth,57.0,113.0
You Can't Run Forever,4.4,2024,R,Drama,Michelle Schumacher,J.K. SimmonsFernanda UrrejolaAllen Leech,66.9,102.0
Saltburn,7.0,2023,R,Drama,Emerald Fennell,Barry KeoghanJacob ElordiRosamund Pike,61.0,131.0
Pearl,7.0,2022,R,Drama,Ti West,Ti WestMia Goth,76.0,103.0
Force of Nature: The Dry 2,6.0,2024,R,Crime,Robert Connolly,Eric BanaAnna TorvDeborra-Lee Furness,58.0,120.0
The Crow,7.1,2024,R,Action,Rupert Sanders,Bill SkarsgårdFKA twigsDanny Huston,66.9,116.3
Anatomy of a Fall,7.7,2023,R,Crime,Justine Triet,Sandra HüllerSwann ArlaudMilo Machado-Graner,86.0,151.0
The Surfer,7.4,2024,R,Thriller,Lorcan Finnegan,Nicolas CageJulian McMahonNicholas Cassim,69.0,116.3
Manjummel Boys,8.4,2024,R,Adventure,Chidambaram,Soubin ShahirSreenath BhasiBalu Varghese,66.9,116.3
The Invitation,5.3,2022,PG-13,Horror,Jessica M. Thompson,Nathalie EmmanuelThomas DohertySean Pertwee,45.0,105.0
The Watchers,7.1,2024,PG-13,Fantasy,Ishana Shyamalan,Dakota FanningGeorgina CampbellOlwen Fouéré,66.9,102.0
Where the Crawdads Sing,7.2,2022,PG-13,Drama,Olivia Newman,Daisy Edgar-JonesTaylor John SmithHarris Dickinson,43.0,125.0
Argylle,5.7,2024,PG-13,Action,Matthew Vaughn,Henry CavillBryce Dallas HowardSam Rockwell,35.0,139.0
In a Violent Nature,5.7,2024,R,Drama,Chris Nash,Chris Nash,65.0,116.3
The Strangers,6.1,2008,R,Horror,Bryan Bertino,Scott SpeedmanLiv TylerGemma Ward,47.0,86.0
The Judge,7.4,2014,R,Crime,David Dobkin,Nick SchenkBill DubuqueDavid Dobkin,48.0,141.0
Twisters,7.1,2024,PG-13,Action,Lee Isaac Chung,Mark L. SmithJoseph KosinskiMichael Crichton,66.9,116.3
The Last Stop in Yuma County,7.0,2023,R,Crime,Francis Galluppi,Jim CummingsFaizon LoveJocelin Donahue,72.0,90.0
The Hunger Games: The Ballad of Songbirds & Snakes,6.7,2023,PG-13,Action,Francis Lawrence,Rachel ZeglerTom BlythViola Davis,54.0,157.0
Upgrade,7.5,2018,R,Action,Leigh Whannell,Logan Marshall-GreenMelanie VallejoSteve Danielsen,67.0,100.0
Bullet Train,7.3,2022,R,Action,David Leitch,Brad PittJoey KingAaron Taylor-Johnson,49.0,127.0
Beverly Hills Cop: Axel F,7.1,2024,R,Action,Mark Molloy,Will BeallTom GormicanKevin Etten,66.9,115.0
X,6.5,2022,R,Horror,Ti West,Mia GothJenna OrtegaBrittany Snow,80.0,105.0
Bad Boys: Ride or Die,7.1,2024,R,Action,Adil El Arbi,Will SmithMartin LawrenceVanessa Hudgens,66.9,116.3
Mad Max 2: The Road Warrior,7.6,1981,R,Action,George Miller,Terry HayesGeorge MillerBrian Hannant,77.0,96.0
Sting,5.7,2024,R,Horror,Kiah Roache-Turner,Jermaine FowlerRyan CorrAlyla Browne,57.0,92.0
Monkey Man,6.9,2024,R,Action,Dev Patel,Dev PatelPaul AngunawelaJohn Collee,70.0,121.0
The Beekeeper,6.4,2024,R,Action,David Ayer,Jason StathamEmmy Raver-LampmanBobby Naderi,53.0,105.0
Love Lies Bleeding,6.7,2024,R,Action,Rose Glass,Anna BaryshnikovKristen StewartDave Franco,77.0,104.0
Dawn of the Planet of the Apes,7.6,2014,PG-13,Action,Matt Reeves,Mark BombackRick JaffaAmanda Silver,79.0,130.0
Rise of the Planet of the Apes,7.6,2011,PG-13,Action,Rupert Wyatt,James FrancoAndy SerkisFreida Pinto,68.0,105.0
Road House,6.2,2024,R,Action,Doug Liman,Anthony BagarozziChuck MondryR. Lance Hill,57.0,121.0
Planet of the Apes,5.7,2001,PG-13,Action,Tim Burton,Pierre BoulleWilliam Broyles Jr.Lawrence Konner,50.0,120.0
Mad Max,6.8,1979,R,Action,George Miller,James McCauslandGeorge MillerByron Kennedy,73.0,88.0
War for the Planet of the Apes,7.4,2017,PG-13,Action,Matt Reeves,Mark BombackMatt ReevesRick Jaffa,82.0,140.0
Longlegs,7.1,2024,R,Crime,Oz Perkins,Nicolas CageMaika MonroeAlicia Witt,66.9,101.0
Disturbia,6.8,2007,PG-13,Crime,D.J. Caruso,Christopher LandonCarl Ellsworth,62.0,105.0
A Simple Favor,6.8,2018,R,Comedy,Paul Feig,Anna KendrickBlake LivelyHenry Golding,67.0,117.0
Mothers' Instinct,6.3,2024,R,Drama,Benoît Delhomme,Anne HathawayJessica ChastainJosh Charles,46.0,116.3
Trigger Warning,7.1,2024,R,Action,Mouly Surya,Jessica AlbaMark WebberAnthony Michael Hall,66.9,116.3
Emilia Perez,7.2,2024,R,Comedy,Jacques Audiard,Jacques AudiardThomas BidegainNicolas Livecchi,70.0,116.3
Boy Kills World,6.5,2023,R,Action,Moritz Mohr,Tyler Burton SmithArend RemmersMoritz Mohr,47.0,111.0
Abigail,6.7,2024,R,Horror,Matt Bettinelli-Olpin,Melissa BarreraDan StevensAlisha Weir,62.0,109.0
Godzilla x Kong: The New Empire,6.2,2024,PG-13,Action,Adam Wingard,Terry RossioAdam WingardSimon Barrett,47.0,115.0
Madame Web,3.9,2024,PG-13,Action,S.J. Clarkson,Matt SazamaBurk SharplessClaire Parker,26.0,116.0
Civil War,7.4,2024,R,Action,Alex Garland,Kirsten DunstWagner MouraCailee Spaeny,75.0,109.0
Mad Max: Fury Road,8.1,2015,R,Action,George Miller,Tom HardyCharlize TheronNicholas Hoult,90.0,120.0
Atlas,5.6,2024,PG-13,Action,Brad Peyton,Jennifer LopezSimu LiuSterling K. Brown,37.0,118.0
Furiosa: A Mad Max Saga,7.9,2024,R,Action,George Miller,Anya Taylor-JoyChris HemsworthTom Burke,79.0,148.0
"Red, White & Royal Blue",7.0,2023,R,Comedy,Matthew López,Taylor Zakhar PerezNicholas GalitzineUma Thurman,62.0,118.0
Despicable Me 4,7.1,2024,PG,Animation,Chris Renaud,Steve CarellKristen WiigJoey King,66.9,95.0
Migration,6.7,2023,PG,Animation,Benjamin Renner,Mike WhiteBenjamin RennerKen Daurio,56.0,83.0
Ghostbusters: Afterlife,7.0,2021,PG-13,Adventure,Jason Reitman,Gil KenanJason ReitmanIvan Reitman,45.0,124.0
Sasquatch Sunset,5.6,2024,R,Action,David Zellner,Jesse EisenbergRiley KeoughChristophe Zajac-Denek,65.0,88.0
10 Things I Hate About You,7.3,1999,PG-13,Comedy,Gil Junger,Heath LedgerJulia StilesJoseph Gordon-Levitt,70.0,97.0
Babes,6.5,2024,R,Comedy,Pamela Adlon,Elena OuspenskaiaSandra BernhardOliver Platt,74.0,104.0
No Hard Feelings,6.4,2023,R,Comedy,Gene Stupnitsky,Jennifer LawrenceAndrew Barth FeldmanLaura Benanti,59.0,103.0
Ghostbusters,7.8,1984,PG,Action,Ivan Reitman,Bill MurrayDan AykroydSigourney Weaver,71.0,105.0
Borderlands,7.1,2024,R,Action,Eli Roth,Eli RothJoe Crombie,66.9,116.3
Dream Scenario,6.9,2023,R,Comedy,Kristoffer Borgli,Lily BirdNicolas CageJulianne Nicholson,74.0,102.0
Seize Them!,5.0,2024,R,Comedy,Curtis Vowell,Aimee Lou WoodJessica HynesMatthew Cottle,44.0,116.3
The Wolf of Wall Street,8.2,2013,R,Biography,Martin Scorsese,Leonardo DiCaprioJonah HillMargot Robbie,75.0,180.0
Inside Out,8.1,2015,PG,Animation,Pete Docter,Pete DocterRonnie Del CarmenMeg LeFauve,94.0,95.0
Deadpool,8.0,2016,R,Action,Tim Miller,Ryan ReynoldsMorena BaccarinT.J. Miller,65.0,108.0
Wish,5.6,2023,PG,Animation,Chris Buck,Jennifer LeeAllison MooreChris Buck,47.0,95.0
Madgaon Express,7.2,2024,R,Comedy,Kunal Kemmu,Divyendu SharmaPratik GandhiAvinash Tiwary,66.9,116.3
Crew,6.1,2024,R,Comedy,Rajesh A Krishnan,TabuKareena KapoorKriti Sanon,66.9,116.3
Miller's Girl,5.2,2024,R,Comedy,Jade Halley Bartlett,Martin FreemanJenna OrtegaBashir Salahuddin,41.0,93.0
Wonka,7.0,2023,PG,Adventure,Paul King,Roald DahlPaul KingSimon Farnaby,66.0,116.0
The Coffee Table,6.8,2022,16+,Comedy,Caye Casas,David ParejaEstefanía de los SantosJosep Maria Riera,72.0,91.0
Kung Fu Panda 4,6.3,2024,PG,Animation,Mike Mitchell,Jonathan AibelGlenn BergerDarren Lemke,54.0,94.0
Anora,7.9,2024,R,Comedy,Sean Baker,Mikey MadisonMark EydelshteynYura Borisov,89.0,116.3
The Holdovers,7.9,2023,R,Comedy,Alexander Payne,Paul GiamattiDa'Vine Joy RandolphDominic Sessa,82.0,133.0
Barbie,6.8,2023,PG-13,Adventure,Greta Gerwig,Margot RobbieRyan GoslingIssa Rae,80.0,114.0
Argylle,5.7,2024,PG-13,Action,Matthew Vaughn,Henry CavillBryce Dallas HowardSam Rockwell,35.0,139.0
American Fiction,7.5,2023,R,Comedy,Cord Jefferson,Jeffrey WrightTracee Ellis RossJohn Ortiz,81.0,117.0
Bullet Train,7.3,2022,R,Action,David Leitch,Brad PittJoey KingAaron Taylor-Johnson,49.0,127.0
Once Upon a Time... in Hollywood,7.6,2019,R,Comedy,Quentin Tarantino,Leonardo DiCaprioBrad PittMargot Robbie,84.0,161.0
Beverly Hills Cop: Axel F,7.1,2024,R,Action,Mark Molloy,Will BeallTom GormicanKevin Etten,66.9,115.0
Inside Out 2,7.1,2024,PG,Animation,Kelsey Mann,Amy PoehlerPhyllis SmithLewis Black,66.9,100.0
Bad Boys: Ride or Die,7.1,2024,R,Action,Adil El Arbi,Will SmithMartin LawrenceVanessa Hudgens,66.9,116.3
Beetlejuice,7.5,1988,PG,Comedy,Tim Burton,Michael McDowellLarry WilsonWarren Skaaren,71.0,92.0
Hit Man,7.4,2023,R,Action,Richard Linklater,Adria ArjonaGlen PowellRetta,83.0,115.0
Laapataa Ladies,8.5,2023,R,Comedy,Kiran Rao,Nitanshi GoelPratibha RantaSparsh Shrivastava,66.9,116.3
Ghostbusters: Frozen Empire,6.2,2024,PG-13,Adventure,Gil Kenan,Gil KenanJason ReitmanIvan Reitman,46.0,115.0
A Simple Favor,6.8,2018,R,Comedy,Paul Feig,Anna KendrickBlake LivelyHenry Golding,67.0,117.0
Poor Things,7.9,2023,R,Comedy,Yorgos Lanthimos,Emma StoneMark RuffaloWillem Dafoe,88.0,141.0
Thelma the Unicorn,5.8,2024,PG,Animation,Jared Hess,Brittany HowardWill ForteJon Heder,64.0,93.0
Unfrosted,5.5,2024,PG-13,Biography,Jerry Seinfeld,Jerry SeinfeldSpike FerestenAndy Robin,42.0,97.0
Emilia Perez,7.2,2024,R,Comedy,Jacques Audiard,Jacques AudiardThomas BidegainNicolas Livecchi,70.0,116.3
Anyone But You,6.1,2023,R,Comedy,Will Gluck,Ilana WolpertWill Gluck,52.0,103.0
Deadpool & Wolverine,7.1,2024,R,Action,Shawn Levy,Shawn LevyRhett ReeseRyan Reynolds,66.9,116.3
The Garfield Movie,5.9,2024,PG,Animation,Mark Dindal,Paul A. KaplanMark TorgoveDavid Reynolds,31.0,101.0
Kinds of Kindness,7.0,2024,R,Comedy,Yorgos Lanthimos,Efthimis FilippouYorgos Lanthimos,72.0,164.0
Mother of the Bride,4.8,2024,TV-PG,Comedy,Mark Waters,Brooke ShieldsMiranda CosgroveBenjamin Bratt,39.0,88.0
Beetlejuice Beetlejuice,7.1,2024,R,Comedy,Tim Burton,Alfred GoughMiles MillarSeth Grahame-Smith,66.9,116.3
The Idea of You,6.4,2024,R,Comedy,Michael Showalter,Anne HathawayNicholas GalitzineElla Rubin,67.0,115.0
IF,6.7,2024,PG,Animation,John Krasinski,Cailey FlemingRyan ReynoldsJohn Krasinski,46.0,104.0
The Fall Guy,7.1,2024,PG-13,Action,David Leitch,Ryan GoslingEmily BluntAaron Taylor-Johnson,73.0,126.0
